ramp_run_id,ramp_case,damage_key,damage_name,ecs_label,ecs_val,disc_label,disc_scenario,SCC_2030,SCC_2050,SCC_2100,MIU_2030,MIU_2050,MIU_2100,MIU_bound_2030,MIU_bound_2050,MIU_bound_2100,MIU_slack_2030,MIU_slack_2050,MIU_slack_2100,binding_2030,binding_2050,binding_2100,first_binding_year,T_2030,T_2050,T_2100,welfare,elapsed_s,status,timestamp
26,relaxed_ramp_30pp,nordhaus_2016,Nordhaus DICE-2016,ecs_central,3.00252,default,9,48.30684011551898,90.94723528604926,323.12688510311415,0.20382919875041333,0.34062488108051037,0.7641935524836513,0.65,1.0,1.0,0.4461708012495867,0.6593751189194896,0.23580644751634872,interior,interior,interior,2135,1.5392603005292853,1.9561705775212963,2.7410650321174512,6681.1326754988495,10.4,ok,2026-08-07T14:53:19
27,relaxed_ramp_30pp,hs_low,Howard-Sterner Low,ecs_central,3.00252,default,9,48.30684011551898,90.94723528604926,323.12688510311415,0.20382919875041333,0.34062488108051037,0.7641935524836513,0.65,1.0,1.0,0.4461708012495867,0.6593751189194896,0.23580644751634872,interior,interior,interior,2135,1.5392603005292853,1.9561705775212963,2.7410650321174512,6681.1326754988495,10.4,ok,2026-08-07T14:53:30
28,relaxed_ramp_30pp,hs_central,Howard-Sterner Central,ecs_central,3.00252,default,9,85.59927435532558,155.91687405282372,501.3616302643182,0.28640560400805076,0.4675624438575952,0.976506241483875,0.65,1.0,1.0,0.36359439599194926,0.5324375561424048,0.023493758516125007,interior,interior,interior,2105,1.5176365951201287,1.8657055727670167,2.3106385420743694,6617.021454662394,9.9,ok,2026-08-07T14:53:39
29,relaxed_ramp_30pp,hs_high,Howard-Sterner High,ecs_central,3.00252,default,9,152.7777471484336,266.44943650763685,801.7874794911664,0.4049763226817432,0.6417981888169086,0.9999999999999146,0.65,1.0,1.0,0.2450236773182568,0.35820181118309136,8.537615059367454e-14,interior,interior,binding,2025,1.4874485461804317,1.7386212387543405,1.8652286919274084,6516.873989051872,9.4,ok,2026-08-07T14:53:49
30,relaxed_ramp_30pp,weitzman,Weitzman (2012),ecs_central,3.00252,default,9,53.6026341620111,105.66929181381305,374.73362956533737,0.2169459455885837,0.37336331160257835,0.8402388704412136,0.65,1.0,1.0,0.4330540544114163,0.6266366883974217,0.1597611295587864,interior,interior,interior,2135,1.5360852207656586,1.9377665299193763,2.5998000299118957,6682.222731314809,10.4,ok,2026-08-07T14:53:59
31,relaxed_ramp_30pp,dietz_stern,Dietz-Stern (2015),ecs_central,3.00252,default,9,45.08424713770409,85.00765935735053,305.06374128991905,0.19561447399984513,0.3272883481125956,0.7393905511359595,0.65,1.0,1.0,0.4543855260001549,0.6727116518874043,0.26060944886404047,interior,interior,interior,2140,1.5413931173697988,1.9653635848606885,2.7876239357098074,6686.789814035763,10.3,ok,2026-08-07T14:54:10
32,relaxed_ramp_30pp,kahn,Kahn et al. (2021),ecs_central,3.00252,default,9,90.62186756647172,164.44598242985055,524.0737598567649,0.29632169295337185,0.48252154093244076,1.0,0.65,1.0,1.0,0.35367830704662817,0.5174784590675592,0.0,interior,interior,binding,2100,1.5150305688953112,1.8548982266336118,2.2593476495280953,6609.036869918775,9.9,ok,2026-08-07T14:54:20
33,no_near_term_ramp,nordhaus_2023,Nordhaus DICE-2023,ecs_central,3.00252,default,9,60.67345247175529,112.81444713912386,384.85091976119617,0.23353588522127955,0.3869408743964177,0.8441316164146309,1.0,1.0,1.0,0.7664641147787205,0.6130591256035822,0.15586838358536914,interior,interior,interior,2125,1.531499215718618,1.9234834109920151,2.5838103230952636,6658.655916937005,10.3,ok,2026-08-07T14:54:30
34,no_near_term_ramp,nordhaus_2016,Nordhaus DICE-2016,ecs_central,3.00252,default,9,48.30497623004057,90.94707355114112,323.0911403535171,0.20382932622246766,0.34062520133247165,0.7641948442332549,1.0,1.0,1.0,0.7961706737775324,0.6593747986675284,0.2358051557667451,interior,interior,interior,2135,1.539260277854321,1.9561705574095867,2.7410644338870642,6681.132675499639,10.2,ok,2026-08-07T14:54:40
35,no_near_term_ramp,hs_low,Howard-Sterner Low,ecs_central,3.00252,default,9,48.30497623004057,90.94707355114112,323.0911403535171,0.20382932622246766,0.34062520133247165,0.7641948442332549,1.0,1.0,1.0,0.7961706737775324,0.6593747986675284,0.2358051557667451,interior,interior,interior,2135,1.539260277854321,1.9561705574095867,2.7410644338870642,6681.132675499639,10.2,ok,2026-08-07T14:54:50
36,no_near_term_ramp,hs_central,Howard-Sterner Central,ecs_central,3.00252,default,9,85.60226597772252,155.91170452352674,501.3770195858148,0.2864029521137298,0.46756282126533655,0.9765063677711732,1.0,1.0,1.0,0.7135970478862702,0.5324371787346635,0.023493632228826833,interior,interior,interior,2105,1.5176367145705507,1.8657061513032638,2.310642568204264,6617.021454670501,9.9,ok,2026-08-07T14:55:00
37,no_near_term_ramp,hs_high,Howard-Sterner High,ecs_central,3.00252,default,9,152.71107872635446,266.3802342746992,801.5803699960011,0.4048485780241247,0.6416687809919268,1.0,1.0,1.0,1.0,0.5951514219758753,0.3583312190080732,0.0,interior,interior,binding,2085,1.4863962707498333,1.7378128818593286,1.8647271847885065,6516.877048338876,9.6,ok,2026-08-07T14:55:10
38,no_near_term_ramp,weitzman,Weitzman (2012),ecs_central,3.00252,default,9,53.60210006278573,105.66848191805151,374.7381052214152,0.2169465896983399,0.3733632271997991,0.8402348621670832,1.0,1.0,1.0,0.7830534103016601,0.6266367728002009,0.1597651378329168,interior,interior,interior,2135,1.5360852453093208,1.9377664649145996,2.5998037602402424,6682.22273131492,10.3,ok,2026-08-07T14:55:20
39,no_near_term_ramp,dietz_stern,Dietz-Stern (2015),ecs_central,3.00252,default,9,45.08411610463575,85.00636396698707,305.07897278843456,0.19561400907441395,0.32728798342163085,0.7393876141503005,1.0,1.0,1.0,0.804385990925586,0.6727120165783691,0.2606123858496995,interior,interior,interior,2140,1.5413932228119527,1.9653637839566254,2.7876284462225653,6686.789814035465,10.3,ok,2026-08-07T14:55:31
40,no_near_term_ramp,kahn,Kahn et al. (2021),ecs_central,3.00252,default,9,90.61921123838607,164.4522170993525,524.0702156839601,0.2963235925236623,0.482521408529211,1.0,1.0,1.0,1.0,0.7036764074763378,0.517478591470789,0.0,interior,interior,binding,2100,1.5150300921533417,1.8548970868001962,2.2593459117281163,6609.036869913802,9.8,ok,2026-08-07T14:55:40
